ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
AAPL,9,77.78,15.1,225.0,7.9,3.2310361251359914,23.56 # 31.91 # -1.58 # -11.45 # 7.72 # 30.13 # 6.63 # 41.03 # 7.9,23.56 # 31.91 # 7.72 # 30.13 # 6.63 # 41.03 # 7.9,21.27,23.56,-1.58 # -11.45,-6.51,-6.51,179.0,7,2,41.03,-11.45,2006-02-06,28,75
MSFT,9,77.78,8.57,243.0,14.39,1.928269942548556,5.51 # 14.39 # -21.79 # -5.34 # 14.67 # 4.79 # 15.39 # 23.4 # 26.13,5.51 # 14.39 # 14.67 # 4.79 # 15.39 # 23.4 # 26.13,14.9,14.67,-21.79 # -5.34,-13.57,-13.57,170.0,7,2,26.13,-21.79,2006-05-01,28,75
GOOG,12,83.33,13.89,191.0,13.2,4.505081623268168,19.98 # 6.74 # 5.18 # -1.7 # 10.02 # 23.01 # 27.74 # 12.09 # 14.3 # 19.0 # 33.83 # -3.54,19.98 # 6.74 # 5.18 # 10.02 # 23.01 # 27.74 # 12.09 # 14.3 # 19.0 # 33.83,17.19,16.65,-1.7 # -3.54,-2.62,-2.62,175.0,10,2,33.83,-3.54,2006-02-06,28,75
AMZN,8,75.0,21.08,334.0,16.77,3.45811080002181,-0.5 # 59.95 # 30.66 # 9.05 # 70.0 # 11.66 # 21.88 # -34.09,59.95 # 30.66 # 9.05 # 70.0 # 11.66 # 21.88,33.87,26.27,-0.5 # -34.09,-17.29,-17.29,261.0,6,2,70.0,-34.09,2006-02-06,28,75
NVDA,9,66.67,18.53,367.0,28.37,3.1131388805968734,66.11 # -39.26 # 29.65 # -14.24 # 1.59 # 34.55 # 28.37 # -3.01 # 63.04,66.11 # 29.65 # 1.59 # 34.55 # 28.37 # 63.04,37.22,32.1,-39.26 # -14.24 # -3.01,-18.83,-14.24,395.0,6,3,66.11,-39.26,2006-05-19,28,75
META,8,87.5,18.5,173.0,23.57,3.1968401924544145,16.67 # 39.95 # 20.2 # 10.95 # 26.94 # 35.37 # 34.38 # -36.41,16.67 # 39.95 # 20.2 # 10.95 # 26.94 # 35.37 # 34.38,26.35,26.94,-36.41,-36.41,-36.41,105.0,7,1,39.95,-36.41,2012-07-30,28,75
TSLA,11,81.82,39.31,180.0,18.14,22.0724897197458,43.13 # 116.51 # 12.16 # 37.87 # 9.49 # 18.14 # 8.95 # 154.55 # 40.06 # -7.21 # -1.2,43.13 # 116.51 # 12.16 # 37.87 # 9.49 # 18.14 # 8.95 # 154.55 # 40.06,48.98,37.87,-7.21 # -1.2,-4.21,-4.21,134.0,9,2,154.55,-7.21,2012-01-17,28,75
LLY,12,91.67,11.11,217.0,11.99,3.144839606715963,3.5 # -28.71 # 11.61 # 10.66 # 16.32 # 10.44 # 12.37 # 21.68 # 6.69 # 35.88 # 15.16 # 17.69,3.5 # 11.61 # 10.66 # 16.32 # 10.44 # 12.37 # 21.68 # 6.69 # 35.88 # 15.16 # 17.69,14.73,12.37,-28.71,-28.71,-28.71,168.0,11,1,35.88,-28.71,2006-02-06,28,75
V,7,100.0,34.7,474.0,27.32,7.44102052123875,81.51 # 34.59 # 17.0 # 27.32 # 14.64 # 24.02 # 43.82,81.51 # 34.59 # 17.0 # 27.32 # 14.64 # 24.02 # 43.82,34.7,27.32,,,,439.0,7,0,81.51,14.64,2008-10-08,28,75
AVGO,6,100.0,42.19,388.0,41.7,7.8592015843307355,53.39 # 46.67 # 30.41 # 13.79 # 72.17 # 36.73,53.39 # 46.67 # 30.41 # 13.79 # 72.17 # 36.73,42.19,41.7,,,,306.0,6,0,72.17,13.79,2011-08-09,28,75
JPM,11,90.91,10.71,303.0,9.13,2.9488380027544285,9.13 # -4.11 # 6.65 # 16.23 # 11.05 # 35.78 # 10.28 # 8.61 # 7.12 # 2.88 # 14.2,9.13 # 6.65 # 16.23 # 11.05 # 35.78 # 10.28 # 8.61 # 7.12 # 2.88 # 14.2,12.19,9.71,-4.11,-4.11,-4.11,197.0,10,1,35.78,-4.11,2007-03-06,28,75
WMT,13,100.0,15.35,284.0,11.37,6.0769474374297925,9.15 # 2.51 # 14.19 # 25.04 # 10.15 # 9.03 # 10.34 # 2.79 # 25.47 # 42.43 # 13.63 # 11.37 # 23.47,9.15 # 2.51 # 14.19 # 25.04 # 10.15 # 9.03 # 10.34 # 2.79 # 25.47 # 42.43 # 13.63 # 11.37 # 23.47,15.35,11.37,,,,246.0,13,0,42.43,2.51,2006-07-14,28,75
MA,6,100.0,26.34,412.0,26.15,3.9502277894450057,6.67 # 34.46 # 18.24 # 25.71 # 26.6 # 46.35,6.67 # 34.46 # 18.24 # 25.71 # 26.6 # 46.35,26.34,26.15,,,,246.0,6,0,46.35,6.67,2010-02-05,28,75
XOM,7,85.71,3.31,640.0,2.09,1.0759203454067148,0.23 # 23.5 # 2.09 # 6.52 # -38.17 # 28.18 # 0.85,0.23 # 23.5 # 2.09 # 6.52 # 28.18 # 0.85,10.23,4.3,-38.17,-38.17,-38.17,731.0,6,1,28.18,-38.17,2008-10-13,28,75
JNJ,12,91.67,10.31,318.0,9.32,3.1312555836154,12.45 # 1.87 # -3.23 # 6.71 # 9.62 # 9.28 # 30.21 # 9.36 # 8.84 # 24.94 # 4.35 # 9.36,12.45 # 1.87 # 6.71 # 9.62 # 9.28 # 30.21 # 9.36 # 8.84 # 24.94 # 4.35 # 9.36,11.54,9.36,-3.23,-3.23,-3.23,280.5,11,1,30.21,-3.23,2006-02-06,28,75
PG,11,90.91,10.4,426.0,10.11,2.8844133634481746,10.11 # 10.91 # -5.86 # 9.26 # 10.05 # 22.23 # 19.37 # 20.52 # 3.26 # 10.89 # 3.63,10.11 # 10.91 # 9.26 # 10.05 # 22.23 # 19.37 # 20.52 # 3.26 # 10.89 # 3.63,12.02,10.5,-5.86,-5.86,-5.86,208.0,10,1,22.23,-5.86,2006-04-12,28,75
HD,9,77.78,10.1,360.0,14.17,2.048108542119214,-30.31 # 18.29 # 29.61 # 31.57 # 14.17 # 23.57 # 4.21 # -8.18 # 7.93,18.29 # 29.61 # 31.57 # 14.17 # 23.57 # 4.21 # 7.93,18.48,18.29,-30.31 # -8.18,-19.25,-19.25,202.0,7,2,31.57,-30.31,2006-02-08,28,75
COST,11,100.0,15.84,213.0,16.11,4.863674913201952,2.92 # 24.66 # 7.61 # 21.72 # 4.79 # 10.73 # 6.8 # 16.11 # 23.41 # 23.78 # 31.69,2.92 # 24.66 # 7.61 # 21.72 # 4.79 # 10.73 # 6.8 # 16.11 # 23.41 # 23.78 # 31.69,15.84,16.11,,,,164.0,11,0,31.69,2.92,2008-10-10,28,75
MRK,9,88.89,9.78,360.0,13.83,2.173788411476579,-19.73 # 5.41 # 25.38 # 13.83 # 16.36 # 2.87 # 18.32 # 9.29 # 16.29,5.41 # 25.38 # 13.83 # 16.36 # 2.87 # 18.32 # 9.29 # 16.29,13.47,15.06,-19.73,-19.73,-19.73,334.0,8,1,25.38,-19.73,2008-01-23,28,75
